vision_adtf_info,1.0
2,MMPCEVOB0D0003_DE-GDXC674_20161212_163503.dat
category,startRow,nRows,type
visionVideoChunk,5,1321,visionVideoChunk
streamName,streamIndex,chunkIndex,timeStamp,dataTimeStamp,frameNumber
RightRawA,0,0,94270595,94270595,4422
RightRawA,1,385,94337001,94316049,4424
RightRawA,2,780,94381786,94361510,4426
RightRawA,3,1161,94424933,94406964,4428
RightRawA,4,1546,94473384,94452418,4430
RightRawA,5,1936,94518360,94497873,4432
RightRawA,6,2327,94563391,94543327,4434
RightRawA,7,2717,94609480,94588781,4436
RightRawA,8,3137,94655221,94634235,4438
RightRawA,9,3529,94700191,94679696,4440
RightRawA,10,3872,94744955,94725150,4442
RightRawA,11,4271,94790826,94770604,4444
RightRawA,12,4660,94836785,94816059,4446
RightRawA,13,5051,94881816,94861513,4448
RightRawA,14,5436,94925686,94906967,4450
RightRawA,15,5853,94972008,94952421,4452
RightRawA,16,6240,95017045,94997882,4454
RightRawA,17,6624,95064001,95043336,4456
RightRawA,18,7015,95109756,95088790,4458
RightRawA,19,7392,95154978,95134245,4460
RightRawA,20,7789,95200221,95179699,4462
RightRawA,21,8163,95245613,95225153,4464
RightRawA,22,8557,95290856,95270607,4466
RightRawA,23,8940,95336815,95316068,4468
RightRawA,24,9336,95381846,95361522,4470
RightRawA,25,9717,95424993,95406976,4472
RightRawA,26,10101,95470734,95452430,4474
RightRawA,27,10495,95518427,95497885,4476
RightRawA,28,10885,95564025,95543339,4478
RightRawA,29,11275,95609588,95588793,4480
RightRawA,30,11691,95655274,95634254,4482
RightRawA,31,12085,95700640,95679708,4484
RightRawA,32,12462,95745206,95725162,4486
RightRawA,33,12849,95790879,95770616,4488
RightRawA,34,13238,95836852,95816071,4490
RightRawA,35,13632,95881876,95861525,4492
RightRawA,36,14015,95925733,95906979,4494
RightRawA,37,14399,95970634,95952440,4496
RightRawA,38,14790,96017112,95997894,4498
RightRawA,39,15167,96063966,96043348,4500
RightRawA,40,15557,96109625,96088802,4502
RightRawA,41,15940,96155038,96134257,4504
RightRawA,42,16330,96200629,96179711,4506
RightRawA,43,16709,96245680,96225165,4508
RightRawA,44,17100,96290909,96270626,4510
RightRawA,45,17489,96336882,96316080,4512
RightRawA,46,17876,96381906,96361534,4514
RightRawA,47,18257,96425053,96406988,4516
RightRawA,48,18677,96472084,96452443,4518
RightRawA,49,19066,96518473,96497897,4520
RightRawA,50,19457,96563504,96543358,4522
RightRawA,51,19847,96609621,96588812,4524
RightRawA,52,20220,96655068,96634266,4526
RightRawA,53,20617,96700317,96679720,4528
RightRawA,54,20995,96745082,96725174,4530
RightRawA,55,21385,96790939,96770629,4532
RightRawA,56,21766,96836912,96816083,4534
RightRawA,57,22165,96881929,96861544,4536
RightRawA,58,22542,96925793,96906998,4538
RightRawA,59,22925,96970680,96952452,4540
RightRawA,60,23308,97017172,96997906,4542
RightRawA,61,23693,97063944,97043360,4544
