v_mrf,4.38
8,SMPC522A1DC0032_DE-PIAE1004_20170317_141829.dat
category,startRow,nRows,type
environmentMetaData,11,2,emd
systemMetaData,13,2,smd
vehicleInformationMetaData,15,2,vimd
visionMetaData,17,2,vmd
pedestrianMarkings,19,239,pdmf
streamMarkingSignature,258,26,sms
vehicleMarkings,284,486,vdmf
countryCode,gpsCoordinates,recordingLocation,recordingTime,ambientTemperature,countryStateCode,timeOfDayAuto,season,rightHandedTraffic
SE,58.4182755391984;15.5573599956439,,2017-03-17T14:18:29.000Z,,,,,
additionalSensors,leftCameraSensorType,rightCameraSensorType,savingMode,cameraID,cameraSensorTemperatureMin,cameraSensorTemperatureMean,cameraSensorTemperatureMax,softwareVersion,hardwareVersion,pitchAngleMin,pitchAngleMax,rollAngleMin,rollAngleMax,diskID,navigationSystem,cameraType,driverName,currentHorizon,calibratedHorizon,cameraAssembly,systemRelease,gpsType,navigationSystemVersion,bobFirmwareVersion,bobHardwareVersion,collectionComputerId,collectionToolVersion,dgpsAvailable,externalGpsAvailable,lidarAvailable,naviAvailable,radarAvailable,DGPSmodel
,,RGB,,SMPC522A1DC0032,,,,RC1,,,,,,,,,alexander.brandstrom,,,,,,,,,,3.0.1,,,,,,
horizontalDrivenCurvatureMaxLeft,horizontalDrivenCurvatureMaxRight,horizontalDrivenCurvatureRadius,verticalDrivenCurvatureMin,sCurvature,verticalDrivenCurvatureMax,wipers,windshieldWasher,minVelocity,maxVelocity,meanVelocity,minYawRate,maxYawRate,meanYawRate,minAcceleration,maxAcceleration,meanAcceleration,vehicle,drivenDistance,highBeamOn,longitudinalAccelerationAverage,longitudinalAccelerationMin,longitudinalAccelerationMax,lateralAccelerationAverage,lateralAccelerationMin,lateralAccelerationMax,egoVehicleBeamType,egoVehicleWindshieldType,meanPitchRate,meanRollRate
,,,,,,,false,55,56.5,56.0156975568727,-0.560000002384186,4.55000019073486,0.599493506215873,,,,DE-PIAE1004,0.463261135097874,false,,,,,,,,clear,,
roadUser,sky,timeOfDay,roadMaterial,roadCharacteristics,roadType,roadCover,surfaceQuality,castShadows,objects,glare,exposure,spray,precipitation,detailedPrecipitation,blockage,sight,sightValue,diffusion,destinationSet,interestingLane,interestingSign,roadCharacteristicsAutomatic,specialEvent,streetGlare,useCase,tailgatingVehicle,sunDirection,smoke,LSRroadType,trafficDensity,roadCategorySignType
,partlyCloudy,day,,,suburban,,,,,,,,none,none,none,full,,,,,,,,,,,,,,,
frameNumber,streamName,refId,top,bottom,left,right,objectType,height,direction,movement,occlusion,headOccluded,feetOccluded,overlapped,unsharp,strangePose,distance,keyFrame,lidarDistanceX,lidarDistanceY,lidarVelocityX,lidarVelocityY,crossing,accessory,box3DGroundLength,box3DGroundWidth,box3DGroundCenterX,box3DGroundCenterXSigma,box3DGroundCenterY,box3DGroundCenterYSigma,box3DClosestPointX,box3DClosestPointY,box3DOrientationAngle,box3DOrientationAngleSigma,box3DHeight,box3DRelVelocityX,box3DRelVelocityXSigma,box3DRelVelocityY,box3DRelVelocityYSigma,box3DDataSource,box3DLidarInterpolationAge
24,RggbLogarithmicMasterWindowA,2,398,411,993,997,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
25,RggbLogarithmicMasterWindowA,2,398,411,993,997,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
26,RggbLogarithmicMasterWindowA,2,398,411,993,997,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
27,RggbLogarithmicMasterWindowA,2,398,411,994,998,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
28,RggbLogarithmicMasterWindowA,2,397,411,995,999,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
29,RggbLogarithmicMasterWindowA,2,397,411,996,1000,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
30,RggbLogarithmicMasterWindowA,2,397,412,996,1000,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
31,RggbLogarithmicMasterWindowA,2,398,412,997,1001,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
32,RggbLogarithmicMasterWindowA,2,398,413,997,1001,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
33,RggbLogarithmicMasterWindowA,2,399,414,997,1001,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
34,RggbLogarithmicMasterWindowA,2,400,415,997,1001,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
35,RggbLogarithmicMasterWindowA,2,400,415,998,1002,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
36,RggbLogarithmicMasterWindowA,2,401,416,998,1002,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
37,RggbLogarithmicMasterWindowA,2,401,416,999,1003,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
38,RggbLogarithmicMasterWindowA,2,402,417,999,1003,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
39,RggbLogarithmicMasterWindowA,2,402,417,1000,1004,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
40,RggbLogarithmicMasterWindowA,2,402,417,1001,1005,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
41,RggbLogarithmicMasterWindowA,2,402,417,1001,1005,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
42,RggbLogarithmicMasterWindowA,2,402,417,1002,1006,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
53,RggbLogarithmicMasterWindowA,2,400,415,1006,1010,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
54,RggbLogarithmicMasterWindowA,2,400,415,1006,1010,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
55,RggbLogarithmicMasterWindowA,2,401,416,1007,1011,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
56,RggbLogarithmicMasterWindowA,2,404,419,1007,1012,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
57,RggbLogarithmicMasterWindowA,2,406,421,1007,1013,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
58,RggbLogarithmicMasterWindowA,2,408,423,1008,1014,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
59,RggbLogarithmicMasterWindowA,2,410,425,1009,1015,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
60,RggbLogarithmicMasterWindowA,2,411,427,1009,1016,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
61,RggbLogarithmicMasterWindowA,2,412,428,1009,1016,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
62,RggbLogarithmicMasterWindowA,2,412,428,1009,1016,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
63,RggbLogarithmicMasterWindowA,2,412,428,1010,1017,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
64,RggbLogarithmicMasterWindowA,2,411,427,1010,1017,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
65,RggbLogarithmicMasterWindowA,2,410,426,1010,1017,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
66,RggbLogarithmicMasterWindowA,2,409,425,1011,1018,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
67,RggbLogarithmicMasterWindowA,2,408,424,1011,1018,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
68,RggbLogarithmicMasterWindowA,2,407,423,1012,1019,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
69,RggbLogarithmicMasterWindowA,2,406,422,1012,1019,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
70,RggbLogarithmicMasterWindowA,2,405,421,1013,1020,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
71,RggbLogarithmicMasterWindowA,2,405,421,1014,1021,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
72,RggbLogarithmicMasterWindowA,2,405,422,1014,1021,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
73,RggbLogarithmicMasterWindowA,2,405,422,1015,1022,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
74,RggbLogarithmicMasterWindowA,2,405,422,1016,1022,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
75,RggbLogarithmicMasterWindowA,2,405,422,1016,1023,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
76,RggbLogarithmicMasterWindowA,2,405,422,1017,1023,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
77,RggbLogarithmicMasterWindowA,2,404,421,1018,1023,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
78,RggbLogarithmicMasterWindowA,2,403,420,1019,1023,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
93,RggbLogarithmicMasterWindowA,2,414,431,1024,1028,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
94,RggbLogarithmicMasterWindowA,2,416,433,1025,1030,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
95,RggbLogarithmicMasterWindowA,2,417,434,1025,1031,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
96,RggbLogarithmicMasterWindowA,2,418,435,1025,1032,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
97,RggbLogarithmicMasterWindowA,2,418,435,1026,1033,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
98,RggbLogarithmicMasterWindowA,2,418,435,1027,1034,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
99,RggbLogarithmicMasterWindowA,2,418,435,1028,1034,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
100,RggbLogarithmicMasterWindowA,2,417,434,1029,1034,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
101,RggbLogarithmicMasterWindowA,2,416,433,1030,1035,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
102,RggbLogarithmicMasterWindowA,2,416,433,1031,1035,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
103,RggbLogarithmicMasterWindowA,2,416,433,1032,1036,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
104,RggbLogarithmicMasterWindowA,2,416,433,1033,1037,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
105,RggbLogarithmicMasterWindowA,2,416,433,1034,1038,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
106,RggbLogarithmicMasterWindowA,2,416,433,1035,1039,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
107,RggbLogarithmicMasterWindowA,2,416,433,1036,1040,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
108,RggbLogarithmicMasterWindowA,2,416,433,1036,1040,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
111,RggbLogarithmicMasterWindowA,2,416,433,1034,1038,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
112,RggbLogarithmicMasterWindowA,2,415,433,1034,1039,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
113,RggbLogarithmicMasterWindowA,2,414,433,1034,1040,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
114,RggbLogarithmicMasterWindowA,2,413,433,1035,1041,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
115,RggbLogarithmicMasterWindowA,2,413,432,1035,1042,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
116,RggbLogarithmicMasterWindowA,2,412,432,1036,1043,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
117,RggbLogarithmicMasterWindowA,2,412,432,1037,1044,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
118,RggbLogarithmicMasterWindowA,2,413,433,1037,1044,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
119,RggbLogarithmicMasterWindowA,2,413,433,1038,1045,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
120,RggbLogarithmicMasterWindowA,2,414,434,1039,1046,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
121,RggbLogarithmicMasterWindowA,2,414,434,1040,1047,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
122,RggbLogarithmicMasterWindowA,2,415,435,1041,1048,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
123,RggbLogarithmicMasterWindowA,2,415,435,1041,1048,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
124,RggbLogarithmicMasterWindowA,2,415,435,1042,1049,nondescript,,NN,still,none,,,false,false,false,,false,,,,,,,,,,,,,,,,,,,,,,,
